,Username,Tweet,Likes,Retweets,No
0,FirmRei,"Antisipasi Penyebaran Covid -19, Polisi Sidoarjo Gelar Razia Vaksin Covid-19 dan Prokes di Batas Kota https://t.co/yTGFYBUKUL",0,0,0
1,POLRES_PASER,"10 Vaksin Covid-19 Yang Sudah Dapatkan Izin Penggunaan Darurat Dari BPOM

Sobat Polri, yuk kita simak berikut adalah daftar vaksin Covid-19 yang sudah mendapatkan izin penggunaan darurat dari BPOM! https://t.co/Diib7lFG4b",3,0,1
2,detikcom,"Siswa SD di Jombang, Jatim meninggal kurang dari 24 jam usai mendapat vaksin COVID-19 Pfizer. Disimpulkan tak terkait vaksin, tapi penyebab pasti masih gelap. https://t.co/ZKEIQP97DT",5,5,2
3,detikHealth,"Siswa SD di Jombang, Jatim meninggal kurang dari 24 jam usai mendapat vaksin COVID-19 Pfizer. Disimpulkan tak terkait vaksin, tapi penyebab pasti masih gelap. https://t.co/iQXAGU26Ph",1,1,3
4,asumsico,"Beberapa pasien omicron di Indonesia juga telah menerima dua dosis suntikan vaksin Covid-19.

https://t.co/kWqE546C3k",9,6,4
5,jabarekspres,"Kerja Sama Bilateral Vaksin Covid-19, Indonesia Hemat Rp13 Triliun https://t.co/Kp5BtJUOLB",0,0,5
6,kodim_1704,"Komsos, Babinsa Koramil 1802-02/Sorong Barat Himbau Warga Untuk Ikut Vaksin Covid-19 - https://t.co/h4D91LufBS",0,0,6
7,wulanutari52,"Vaksin Dan Protokol Kesehatan Saling Melengkapi Sebagai Lapisan Proteksi
mengandalkan vaksin saja tidak cukup agar tidak tertular virus Covid-19, menerapkan protokol kesehatan yang ketat adalah upaya melengkapi intervensi kesehatan https://t.co/RWC5Km1Tgq",19,18,7
8,Anggita_lung,"Bagi masyarakat yang belum di vaksin covid-19 segera menuju posko vaksinasi terdekat untuk di vaksin.
Bagi yang sudah di vaksin tetap disiplin PROKES untuk mencegah penularan covid-19.
Vaksinasi covid-19 dan PROKES disiplin menciptakan HERD IMMUNITY.
@jokowi Lawan Pandemi https://t.co/8PQgS99kcQ",20,18,8
9,abi_sasaLL,"Masyarakat yg belum menerima vaksin COVID-19 untuk segera divaksin,jga yg belum mendapatkn vaksin kedua, untuk segera mendatangi fasilitas layanan kesehatan.
Upaya ini dapat mempercepat   tercapainya kekebalan kelompok serta mencegah meluasnya penyebaran varian omicron. https://t.co/piRSeIZ0sT",17,17,9
10,detikHealth,"Tercatat sudah 68 kasus COVID-19 kasus Omicron di Indonesia. Mayoritas berasal dari Turki dan Arab Saudi, tak bergejala dan sebagian besar sudah vaksin lengkap. https://t.co/duW5DhsOu9",2,1,10
11,EkinLatep,"@ourprettystuffs Ayo vaksin, karena vaksin itu gratis dan semoga kita bisa terhindar dari virus covid-19",0,0,11
12,KabarSiang,Kerjasama Bilateral Pengadaan Vaksin Covid-19 Diklaim Hemat Rp13 Triliun https://t.co/3G7T5tavUV #vaksinkemenkescovid,0,0,12
13,sarahbodor,2022 semoga distribusi vaksin booster cepat menyebar merata biar tingkat kasus Covid 19 Indonesia gak usah melonjak tinggi lagi kayak negara-negara luar sekarang.,0,0,13
14,pantau24jam,Penerima Vaksin COVID-19 Dosis Satu Tambah Satu Juta Lebih Orang https://t.co/E10tLoEgsz,0,0,14
15,ThaminahNaila,UPP Kab. Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa mappilawing kec. Eremerasa Sekaligus sosialisasi sapu bersih pungutan liar,0,0,15
16,FunderRei,Ditintelkam Polda Sumbar Gelar Vaksin Covid-19 di Dua Kabupaten https://t.co/CundPcyxyQ,0,0,16
17,detikcom,Muhammad Bayu Setiawan (12) meninggal kurang dari 24 jam setelah disuntik vaksin COVID-19 jenis Pfizer dosis pertama. Ini penjelasan Dinkes: https://t.co/mBB8AvvEjR,21,13,17
18,KAI121,"@aaprianto43 KAI berkomitmen untuk mencegah penyebaran COVID-19 dengan menerapkan prokes ketat, semua penumpang KA diwajibkan sudah vaksin dan wajib melakukan skrining dengan RT-PCR/RDT Antigen pada perjalanan KA antar kota. Trims.|2",0,0,18
19,RadioElshinta,"Badan Pengawas Obat dan Makanan Indonesia sudah memberikan izin penggunaan darurat pada 10 jenis vaksin COVID-19, yakni Sinovac, AstraZeneca, Sinopharm, Moderna, Pfizer, Novavax, Sputnik-V, Janssen, Convidencia, dan Zifivax. via @kemkominfo https://t.co/qRKRSlqEDY",2,0,19
20,VIVAcoid,Joki Vaksin di Belgia Ditahan Setelah 8 Kali Divaksin COVID-19 https://t.co/iOrlAhgLvZ,1,1,20
21,HendraP32952551,"Selama Tahun 2021, Polres Probolinggo Berpartisipasi Suntik 77.240 Dosis Vaksin Covid-19 https://t.co/las8fyc9uz",1,0,21
22,suhazeli,2 dos vaksin mampu meneutralkan varian Omicron. Manakala 3 dos boleh meningkat kemampuan 25 kali. Antibodi setelah vaksinasi boleh mengenal 80% rupa (spike protein) varian omicron. Oleh sebab itu vaksin memainkan peranan penting dalam menurunkan wabak Covid-19. https://t.co/4YjV7pg0eh,147,100,22
23,beritasampit_id,"#BeritaSampit
113 Juta Jiwa Penduduk Indonesia Telah Mendapatkan Vaksin COVID-19 Dosis Kedua https://t.co/wqlpHV2xbC JAKARTA - Satuan Tugas (Satgas) Penanganan COVID-19 melaporkan pen... https://t.co/NsbQMdQkzt",0,0,23
24,lesyeuxdeniny,"@thelumencrux Keknya si ibu2 itu nyeritain kek kejamnya covid-19 dengan adanya org sakit, invest RS naik, terus org² yg keji berdasi pd mudah dpt uang gitu, jadi 1 mayat covid dijadiin uang sih ifu yg kutangkep sblm ada si vaksin yg beraneka ragam jenisnya wkwk",2,1,24
25,Gadis_Kampungk,"Semua Vaksin pasti untuk meningkatkan Immun dan terhindar dari  Covid -19, gag perlu pilih-pilih semua sama #BerharaTakBerpisah https://t.co/zYUfrpOkce",0,0,25
26,KAI121,"@BayuAdi2709 Selamat malam. Sampai saat ini masih dilakukan pembatasan kapasitas maksimal dalam perjalanan kereta api, sesuai dengan peraturan yang berlaku. PT. KAI berkomitmen untuk mencegah penyebaran COVID-19 dengan menerapkan prokes ketat, semua penumpang KA diwajibkan sudah vaksin dan |1",0,0,26
27,Beritasatu,Data Penerima Vaksin Covid-19 sampai 30 Desember 2021 https://t.co/0htd1LNYyI https://t.co/ojI3VUkYmU,3,1,27
28,pakarnur,"#Nonton Bareng Final AFF#Aceh Tamiang#Vaksin Covid-19!

Ajang nonton bareng Final AFF, Indonesia-Thailand pada Rabu (29/12/2021) malam menjadi area vaksin Covid-19.

https://t.co/dAnaxJHUXY",0,0,28
