,Unnamed: 0,Username,Tweet_x,Likes,Retweets,No,Tweet_y,polarity,sentiment,subjectivity,Jenis
0,2,detikcom,"Siswa SD di Jombang, Jatim meninggal kurang dari 24 jam usai mendapat vaksin COVID-19 Pfizer. Disimpulkan tak terkait vaksin, tapi penyebab pasti masih gelap. https://t.co/ZKEIQP97DT",5,5,2,jombang jatim elementary school student died pfizer covid vaccine concluded related vaccine caused dark,0.0499999999999999,Positif,0.5666666666666668,Opini
1,7,wulanutari52,"Vaksin Dan Protokol Kesehatan Saling Melengkapi Sebagai Lapisan Proteksi
mengandalkan vaksin saja tidak cukup agar tidak tertular virus Covid-19, menerapkan protokol kesehatan yang ketat adalah upaya melengkapi intervensi kesehatan https://t.co/RWC5Km1Tgq",19,18,7,health protocol vaccine complete layer protection relying vaccine contracting covid virus implementing strict health protocol complementing health intervention,0.1,Positif,0.4,Opini
2,11,EkinLatep,"@ourprettystuffs Ayo vaksin, karena vaksin itu gratis dan semoga kita bisa terhindar dari virus covid-19",0,0,11,free vaccine avoid covid virus,0.4,Positif,0.8,Opini
3,13,sarahbodor,2022 semoga distribusi vaksin booster cepat menyebar merata biar tingkat kasus Covid 19 Indonesia gak usah melonjak tinggi lagi kayak negara-negara luar sekarang.,0,0,13,hopefully distribution booster vaccine quickly spread evenly indonesia covid rate increase like country,0.3333333333333333,Positif,0.5,Opini
4,15,ThaminahNaila,UPP Kab. Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa mappilawing kec. Eremerasa Sekaligus sosialisasi sapu bersih pungutan liar,0,0,15,upp bantaeng regency actively implementing covid vaccine assistance assistance mappilawing village socializing clean sweep illegal levy,-0.0888888888888888,Negatif,0.6,Opini
5,24,lesyeuxdeniny,"@thelumencrux Keknya si ibu2 itu nyeritain kek kejamnya covid-19 dengan adanya org sakit, invest RS naik, terus org² yg keji berdasi pd mudah dpt uang gitu, jadi 1 mayat covid dijadiin uang sih ifu yg kutangkep sblm ada si vaksin yg beraneka ragam jenisnya wkwk",2,1,24,look like showing cruelty covid sick people invest cruel people tie easy get covid corpse money ifu money caught vaccine various kind wkwk,-0.1361904761904762,Negatif,0.8180952380952382,Opini
6,30,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di kel.ereng-ereng kec.tompobulu Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/3XKJOfeSrP,0,0,30,upp kabbantaeng actively carrying security assistance covid vaccine kectompobulu marble socializing clean illegal levy,-0.0888888888888888,Negatif,0.6,Opini
7,45,hariankompas,"Polres Pinrang Sulawesi Selatan menetapkan Abdul Rahim sebagai tersangka kasus joki vaksin. Ia mengaku disuntik vaksin COVID-19 sebanyak 17 kali. #VideoBerita #AdadiKompas

https://t.co/VfZrACqA5n",1,0,45,pinrang police south sulawesi confirmed rahim suspect vaccine jockey admitted injected covid vaccine,0.4,Positif,1.0,Opini
8,55,lampungpost_,"Jajaran Polsek Terbanggi Besar, Lampung Tengah, bersama Satgas covid-19 setempat menggelar vaksinasi door to door dengan  sasaran   tempat hiburan malam, karaoke, hotel, dan  kafe.
#Vaksin #vaccine #vaccination #vaksindoortodoor #lampostco
https://t.co/AhRoKZQWVa",0,0,55,rank police lampung covid task force held door door vaccination targeted night entertainment karaoke hotel cafe,-0.8,Negatif,0.9,Opini
9,56,Kodam17Cen,"GELAR VAKSINASI COVID-19, BABINSA BERSINERGI DENGAN POLRES DEIYAI DAN AKTIF BERI EDUKASI KE PESERTA VAKSIN
https://t.co/bUjiMMVi19",0,0,56,hold babinsa covid vaccination synergy deiyai ​​police actively educating vaccine participant,-0.1333333333333333,Negatif,0.6,Opini
10,59,ghe_tholl,"Sudah kuduga...
Semoga tidak ada lagi pemaksaan, intimidasi dll kepada rakyatnya.

Ingat! Vaksin Covid-19 Dosis 3 Tak Lagi Gratis, Cek Harganya https://t.co/2iKh6R3NjA",0,0,59,guess hope people forced intimidate people free dose covid vaccine check price,0.0499999999999999,Positif,0.5,Opini
11,71,BerusahaBaik20,"Apa susahnya ikut vaksinasi? Aman, halal, gratis, dan tubuh mendapat antibodi tambahan. Juara Dunia Kickboxing sekaligus Anti-vaksin Meninggal karena Covid-19
Klik untuk baca: https://t.co/iZ5XEk9lab",0,0,71,difficulty free halal vaccination additional antibody body kickboxing world champion dy covid click read,0.4,Positif,0.8,Opini
12,75,Jelajah513,"Sebagian pasien terpapar Omicron yang dirawat di RSPI juga terpantau sudah menerima dua dosis vaksin Covid-19.
Melihat hal ini apa pemerintah dan para ahli kesehatan yg pintar2 di Indonesia tdk berpikir ulang ttg vaksin ?
atau akan tetap ngotot melanjutkan pemaksaan vaksin..? https://t.co/ZswQ9I9CsN",0,0,75,patient exposed omicron treated rspi monitored receive dos covid vaccine government health expert smart indonesia n't think vaccine insists continuing enforce vaccine,0.2142857142857142,Positif,0.6428571428571429,Opini
13,76,antaranews,"Petugas Kepolisian Sektor Padang Selatan, Sumatera Barat, memeriksa sertifikat vaksin setiap pengunjung yang akan memasuki kawasan wisata Pantai Air Manis guna mencegah penyebaran COVID-19. 

Selengkapnya:
https://t.co/lYFoD1Wkni https://t.co/NZdr59TW3L",3,0,76,police officer padang selatan sector sumatra check vaccine certificate visitor entering air sweet beach tourist area prevent spread covid full,0.35,Positif,0.6000000000000001,Opini
14,78,satbrimob_malut,Personel Kompi 1 Batalyon C Pelopor Satuan Brimob Polda Maluku Utara melaksanan giat pengamanan di area pelaksanaan vaksinasi yang dilaksanakan di Desa Lelilef Sawai untuk memberikan rasa aman dan nyaman kepada masyarakat yang sedang melaksanakan vaksin Covid-19 https://t.co/QDbZlRr1Yn,2,0,78,company personnel pioneering battalion company brimob unit north maluku regional police actively securing area vaccination carried village lelilef sawai convenient community carry covid vaccine,-0.1333333333333333,Negatif,0.6,Opini
15,82,jatengtodaycom,"Tak Hanya Pelajar, Anak Jalanan Juga Berhak Dapat Vaksin Covid-19 https://t.co/jlVtMEqrK3",0,0,82,street student right get covid vaccine,0.2857142857142857,Positif,0.5357142857142857,Opini
16,94,NarasiNewsroom,"Dengan rincian, 51 orang sudah menerima dua dosis vaksin, 6 orang baru mendapat satu dosis vaksin, 7 orang sama sekali belum menerima vaksin COVID-19, dan 4 lainnya masih dalam konfirmasi.

#NarasiNewsroom",2,0,94,detail receiving vaccine dose vaccine dose receiving confirmed covid vaccine,0.4,Positif,1.0,Opini
17,96,irasjafii,"Menjelang akhir th  situasi covid-19 di Depok; 19 kasus aktif per kemarin dan 22% pddk yg belum vaksin, serta laporan kasus di rs tempat saya kerja hanya 1 org yg dirawat, berharap memasuki 2022 dg optimis. Asalkan semua tetap displin gunakan masker dan bijak dlm berkumpul. https://t.co/1Oi9gQLB6X",15,3,96,approaching year covid situation depok active terday vaccinated report people treated hope enter optimistically discipline wise mask gathering,0.1888888888888888,Positif,0.5,Opini
